"Source:","C:\Users\simao\Documents\KiCad\Projects\VCOv1\VCOv1.kicad_sch"
"Date:","3/2/2023 10:13:05 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","88"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Func","func"
"","","C1","2.2nF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","",""
"","","C2","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"","","C3","1u","Device:C","Capacitor_THT:C_Rect_L7.0mm_W6.0mm_P5.00mm","~","",""
"","","C4","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C5","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"","","C6","47u","Device:C_Polarized","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","",""
"","","C7","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C8","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C9","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C10","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C11","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C12","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C13","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C14","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C15","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","C16","0.1","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","",""
"","","D1","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"","","D2","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"","","D3","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"","","D4","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"","","D5","1N4148","Diode:1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","",""
"","","D6","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","",""
"","","J1","1V/Octave","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J2","FM CV","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
"","","J3","Conn_02x08_Odd_Even","Connector_Generic:Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~","",""
"","","J4","PWM CV","Connector:Barrel_Jack_Switch","A:MJ-3507","~","",""
