Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,2.2nF,
"C10, C13, C9",0805,3,22p,
"C11, C12, C14, C15, C16, C4, C7, C8",0805,8,0.1u,
"C2, C5, C6",CP_Radial_D4.0mm_P2.00mm,3,47u,
C3,0805,1,1u,
"D1, D4, D5",D_SOD-123F,3,1N4148,
"D2, D3, D6",D_DO-214AC_SMA,3,1N5819,
J1,MJ-3507,1,1V/Octave,
J2,MJ-3507,1,FM CV,
J3,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J4,MJ-3507,1,PWM CV,
J5,MJ-3507,1,Saw,
J6,MJ-3507,1,Pulse,
J7,MJ-3507,1,Triangle,
J8,MJ-3507,1,Sine,
Q1,TO-92_Inline,1,BC558,
Q2,TO-92_Inline,1,BC548,
"Q3, Q4",TO-92_Inline,2,2N3904,
"R1, R10, R14, R17, R19, R2, R4, R5, R7",0805,9,100k,
"R11, R12, R38",0805,3,10,
"R13, R21",0805,2,68k,
R15,0805,1,14k,
R16,0805,1,47k,
"R18, R25, R29, R37",0805,4,1k,
"R20, R22, R26, R30, R33, R35, R36, TH1, TH2, TH3, TH4",0805,11,10k,
"R24, R27",0805,2,20k,
"R28, R34",0805,2,2k2,
R3,0805,1,33k,
R31,0805,1,390,
R32,0805,1,18k,
"R6, R9",0805,2,1M,
R8,0805,1,1K5,
"RV1, RV2, RV5",Potentiometer_Alps_RK09K_Single_Vertical,3,B100k,
RV3,Potentiometer_Alps_RK09K_Single_Vertical,1,B1M,
RV6,Potentiometer_Alps_RK09K_Single_Vertical,1,B250k,
Sine Dist,Potentiometer_Bourns_3224W_Vertical,1,100k,
"Sine offset, Triangle Sym",Potentiometer_Bourns_3224W_Vertical,2,20k,
Sine sym,Potentiometer_Bourns_3224W_Vertical,1,50k,
Tune,Potentiometer_Bourns_3224W_Vertical,1,1k,
U1,SOIC-14_3.9x8.65mm_Pitch1.27mm,1,40106,
"U2, U3",SOIC-14_3.9x8.65mm_Pitch1.27mm,2,TL074,
"mouse-bite-2mm-slot_2, mouse-bite-2mm-slot, mouse-bite-2mm-slot1, mouse-bite-2mm-slot2, mouse-bite-2mm-slot3, mouse-bite-2mm-slot4",mouse-bite-2mm-slot,6,VAL**,
