Designator,Mid X,Mid Y,Rotation,Layer
C1,63.95,-53.8,270.0,bottom
C10,93.575,-85.30462,180.0,bottom
C11,64.67,-80.3,90.0,bottom
C12,53.07,-80.4,270.0,bottom
C13,81.075,-84.90462,0.0,bottom
C14,86.875,-75.40462,0.0,bottom
C15,86.775,-86.80462,0.0,bottom
C16,58.35,-50.46,180.0,bottom
C2,75.85,-42.4,270.0,top
C3,57.47,-75.6,180.0,bottom
C4,72.25,-43.6,270.0,top
C5,68.65,-45.7726,90.0,top
C6,75.85,-47.8,270.0,top
C7,65.25,-44.8,90.0,top
C8,72.45,-48.8375,270.0,top
C9,93.575,-83.10462,180.0,bottom
D1,66.35,-54.2,270.0,bottom
D2,86.45,-49.4,180.0,top
D3,86.45,-45.8,0.0,top
D4,92.275,-77.8,270.0,bottom
D5,94.65,-79.6,90.0,bottom
D6,86.45,-42.2,0.0,top
J1,54.85,-120.0,0.0,top
J2,68.35,-120.0,0.0,top
J3,93.71,-64.0,180.0,bottom
J4,81.85,-120.0,0.0,top
J5,54.85,-138.0,0.0,top
J6,95.35,-138.0,0.0,top
J7,68.35,-138.0,0.0,top
J8,81.85,-138.0,0.0,top
Q1,56.23,-65.54,90.0,top
Q2,60.25,-63.0,270.0,top
Q3,74.728352,-79.76462,270.0,top
Q4,70.618352,-82.30462,90.0,top
R1,74.25,-116.4,270.0,bottom
R10,57.47,-73.5,0.0,bottom
R11,81.05,-49.2,180.0,top
R12,81.05,-45.8,180.0,top
R13,85.125,-112.7,180.0,bottom
R14,92.85,-130.75,0.0,bottom
R15,88.85,-130.75,180.0,bottom
R16,61.47,-72.575,90.0,bottom
R17,62.47,-75.6,180.0,bottom
R18,55.95,-130.9,0.0,bottom
R19,60.57,-85.2,0.0,bottom
R2,72.65,-68.0,90.0,bottom
R20,96.575,-84.10462,90.0,bottom
R21,58.47,-87.3,180.0,bottom
R22,96.85,-80.2,90.0,bottom
R24,81.075,-82.40462,180.0,bottom
R25,89.6,-136.5,270.0,bottom
R26,86.775,-88.80462,180.0,bottom
R27,81.075,-87.10462,0.0,bottom
R28,76.848352,-85.80462,270.0,bottom
R29,62.6,-136.0,270.0,bottom
R3,77.85,-68.0,270.0,bottom
R30,74.748352,-85.80462,90.0,bottom
R31,72.648352,-85.80462,90.0,bottom
R32,77.548352,-77.20462,0.0,bottom
R33,69.528352,-77.23462,180.0,bottom
R34,69.348352,-85.80462,270.0,bottom
R35,81.975,-76.3,90.0,bottom
R36,81.075,-80.30462,0.0,bottom
R37,76.1,-135.75,270.0,bottom
R38,81.05,-42.4,180.0,top
R4,64.05,-107.4,180.0,bottom
R5,75.25,-68.0,270.0,bottom
R6,58.9,-107.4,0.0,bottom
R7,60.65,-116.6,270.0,bottom
R8,63.05,-57.7,90.0,bottom
R9,53.35,-59.0,270.0,bottom
RV1,72.75,-64.85,90.0,top
RV2,56.85,-105.0,90.0,top
RV3,72.85,-105.0,90.0,top
RV5,91.45,-125.55,90.0,top
RV6,88.85,-105.0,90.0,top
Sine Dist,85.475,-84.40462,270.0,top
Sine offset,85.475,-79.00462,270.0,top
Sine sym,80.275,-81.60462,180.0,top
TH1,74.25,-120.4,270.0,bottom
TH2,74.15,-72.1,0.0,bottom
TH3,54.05,-107.4,0.0,bottom
TH4,60.65,-120.6,270.0,bottom
Triangle Sym,94.175,-83.70462,270.0,top
Tune,62.55,-58.4,90.0,top
U1,58.24,-56.277,0.0,bottom
U2,58.817,-80.41,270.0,bottom
U3,86.765,-81.07162,0.0,bottom
mouse-bite-2mm-slot_2,101.5,-147.4,90.0,top
mouse-bite-2mm-slot,101.5,-42.6,90.0,top
mouse-bite-2mm-slot1,101.5,-64.55,90.0,top
mouse-bite-2mm-slot2,101.5,-86.55,90.0,top
mouse-bite-2mm-slot3,101.5,-108.55,90.0,top
mouse-bite-2mm-slot4,101.5,-130.55,90.0,top
